,Gamma = 0.95,Gamma = 0.975,Gamma = 0.99,Gamma = 0.995
243,-280.99852507687024,121.49124320392542,-88.82223189544078,-187.85972945949507
244,-105.26610575284786,-129.20094362059385,-94.27107090130627,-33.83278148185664
245,-293.89049093411523,74.53630535804231,-181.6655072772714,-155.78145200364239
246,-287.42846157380995,191.27102208147429,-127.26495897942557,-172.57447760714865
247,-246.12722441032597,-108.71919565752725,-182.06106567862224,-228.21582853179663
248,-265.93233173571923,147.77940873997818,149.7150834021487,-163.38669492353205
249,-275.04637862445384,-269.5161949829586,-134.143101475862,-167.7558840726925
250,-193.83784019124852,-287.5295968712974,131.99645785697672,-168.84228843672474
251,-268.29127215375206,-147.23505842199933,-51.009750974842504,-65.39847346396927
252,-231.66429460635598,-133.9539013422015,173.47327964767913,-429.9507125450181
253,-348.6672726704332,39.47005404328577,90.41308297730217,-174.66267185092062
254,-237.37826244043248,-105.39812849677818,109.24861230957504,-322.43607542521295
255,-230.01826047326475,108.86845906769437,161.50539275869923,-96.03456223074554
256,-212.06550329184475,105.15450151335709,126.1936551527391,-433.1797606661113
257,-247.71272057310625,93.11074912384967,145.73598876453315,-172.94694155661307
258,-235.4887287477017,146.9077028957663,138.96239051253684,-148.23175057034882
259,-304.8811233044146,-296.00001142874703,-140.86520159339042,-96.229622145413
260,-315.0419892050491,95.54246043625679,26.031925400328824,-336.6842506818974
261,-250.92313673271596,-133.36487562735834,119.76813597368773,-537.6002096589507
262,-197.37581724074914,-166.51291669148574,-116.86915746446113,-325.8113781207012
263,-248.2882635452412,-146.38363535793383,122.32638067056212,-272.4053727544866
264,-235.2844916530726,-170.76223131412544,152.78301788443486,-635.4665683607208
265,-296.601340557832,-100.07094695756706,-34.63690924551373,-115.11821720408811
266,-330.2933976697493,99.70862923794985,148.39293522229403,-211.75715337938018
267,-227.46423601041596,-263.52534363514076,-265.8282774593169,-552.9322269939031
268,-246.85505048151012,-304.13989547723133,149.21121990686578,-202.0945687604929
269,-319.58771128947166,-222.91343560835466,155.85010068253783,-213.09942203425265
270,-210.3019558866,-106.65975700961008,-287.76546044044323,-157.88026722149283
271,-392.3646752616512,-50.4977222467472,-308.7631527286294,-276.7894439245723
272,-210.23592533766538,-270.87851039856355,134.63291616687067,-250.44831877097903
273,-226.7265429852752,-128.8311534155189,-331.4276195776456,-355.8278328380543
274,-178.3447336241999,-97.11161058584366,-198.3252525272812,-178.6452483120984
275,-173.72331077418613,-79.05266008971711,144.5192524188263,-195.43807215063205
276,-324.60361972473095,-283.418211752337,-331.3880706024913,-186.5522150386588
277,-245.8888775756413,58.28637281564731,-143.27881352335874,-257.89483384809444
278,-210.08856858937864,-64.50606427134282,-197.8446441921078,-1098.5013430011918
279,-304.9343433071306,-75.71568308548159,-181.14231821646598,-220.61874967713663
280,-297.5086398562242,-166.3223154517322,112.28312601147965,-181.33849675351763
281,-222.9003735671219,-187.8614880175416,-186.0795678631768,-72.33509287594782
282,-90.4972151548759,-181.20571648580568,-257.502844458436,-153.09992352248923
283,-200.54849368216577,-221.3417947118955,-147.48679189247426,-252.2034312351908
284,-213.84358948964774,-196.33464973580624,-168.224678064288,-305.9265683977825
285,-189.14654937050375,-63.825387056365,-111.2394004093521,-97.51134324324721
286,-197.3820833381069,-126.33865325538585,-251.21067886284482,-230.42231415871805
287,-213.66956542663186,-125.16183472295319,0.5735514002523416,-125.88219228875514
288,-197.54809999772243,-50.029126343321664,139.66921799161412,-151.3297063301543
289,-167.63086107501744,-142.12460351776218,-223.70299949437788,-684.9018515444011
290,-273.156548689504,104.47304790923015,-123.82953202930807,-345.61348825403
291,-159.91326735586918,-54.801084061013455,-61.37409821315072,-66.10179958468996
292,-187.41264172234753,-111.86110619542703,-22.727177781760275,-63.88114258486041
293,-283.83034235322964,-174.7420740535067,-39.59500613489898,-298.6741462613248
294,-258.8993403533983,-92.20402690140182,134.2831988185095,-133.98159177018073
295,-146.75504140206306,-78.76924006498511,-16.84861894335549,-538.4431895898857
296,-270.2100441630374,-232.62842554400237,124.63344941928389,-169.93989252344886
297,-159.8595444887402,85.85324823333379,-42.283715379393996,-231.00792150209963
298,-87.76474994750569,135.01745585005017,-87.68405846997356,-285.45033383581233
299,-162.55415064844289,-222.24518062527505,-175.40791043163475,-152.60405516266223
300,-191.224368482204,-197.14445668773908,150.47078007140385,-205.17131733543823
301,-429.27837461651626,193.71905312811697,99.07335090582961,-399.4392080112666
302,-272.61549859107765,-222.48065586535364,-75.19686997723039,-178.49220823072088
